ListingId;Feature
044f5ac4-3a33-436e-a004-09a0a6855fbf;Kinderfreundlich
044f5ac4-3a33-436e-a004-09a0a6855fbf;Parkplatz
b30f81ac-a527-4996-9d69-2522870131c6;Haustiere erlaubt
b30f81ac-a527-4996-9d69-2522870131c6;Balkon / Terrasse
b30f81ac-a527-4996-9d69-2522870131c6;Kabel-TV
b30f81ac-a527-4996-9d69-2522870131c6;Aussicht
b30f81ac-a527-4996-9d69-2522870131c6;Kinderfreundlich
b30f81ac-a527-4996-9d69-2522870131c6;Garage
b30f81ac-a527-4996-9d69-2522870131c6;Lift
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Haustiere erlaubt
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Balkon / Terrasse
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Kabel-TV
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Aussicht
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Kinderfreundlich
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Garage
ae6a2f0d-ad25-4a6a-acce-9a116f7dd9a3;Lift
b39b3b35-f1fb-465c-80d6-301e0d989083;Haustiere erlaubt
b39b3b35-f1fb-465c-80d6-301e0d989083;Parkplatz
b39b3b35-f1fb-465c-80d6-301e0d989083;Garage
b39b3b35-f1fb-465c-80d6-301e0d989083;Lift
b39b3b35-f1fb-465c-80d6-301e0d989083;Anfahrrampe LKW
b39b3b35-f1fb-465c-80d6-301e0d989083;Gedeckt
53e97dbc-3c72-4907-bd65-0f634be8dd8e;Haustiere erlaubt
53e97dbc-3c72-4907-bd65-0f634be8dd8e;Kabel-TV
53e97dbc-3c72-4907-bd65-0f634be8dd8e;Garage
53e97dbc-3c72-4907-bd65-0f634be8dd8e;Lift
08f86941-dcab-4e0a-ac10-d72c21857959;Parkplatz
08f86941-dcab-4e0a-ac10-d72c21857959;Lift
912cfacb-c852-4212-acd2-5032e92b8ee9;Balkon / Terrasse
912cfacb-c852-4212-acd2-5032e92b8ee9;Keller
912cfacb-c852-4212-acd2-5032e92b8ee9;Spielplatz
912cfacb-c852-4212-acd2-5032e92b8ee9;Lift
912cfacb-c852-4212-acd2-5032e92b8ee9;Neubau
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Balkon / Terrasse
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Keller
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Geschirrspüler
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Waschmaschine
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Tumbler
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Kabel-TV
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Parkplatz
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Garage
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Lift
f86397bd-6da1-4c5a-af1a-c82e8fba6ef1;Neubau
83df508b-c648-4d72-9bc6-35eeb31dbe96;Parkplatz
83df508b-c648-4d72-9bc6-35eeb31dbe96;Bauland erschlossen
83df508b-c648-4d72-9bc6-35eeb31dbe96;Eckhaus
cb349fd5-0cb7-499a-abad-bdac3c56d9f9;Balkon / Terrasse
cb349fd5-0cb7-499a-abad-bdac3c56d9f9;Keller
cb349fd5-0cb7-499a-abad-bdac3c56d9f9;Spielplatz
cb349fd5-0cb7-499a-abad-bdac3c56d9f9;Garage
cb349fd5-0cb7-499a-abad-bdac3c56d9f9;Lift
f5218ea5-03ed-488c-870b-c0f7f27f1b5c;Kinderfreundlich
f5218ea5-03ed-488c-870b-c0f7f27f1b5c;Parkplatz
f5218ea5-03ed-488c-870b-c0f7f27f1b5c;Lift
33b0f160-ed91-4fce-a9a2-a7618cbd4cd5;Haustiere erlaubt
33b0f160-ed91-4fce-a9a2-a7618cbd4cd5;Keller
33b0f160-ed91-4fce-a9a2-a7618cbd4cd5;Geschirrspüler
33b0f160-ed91-4fce-a9a2-a7618cbd4cd5;Parkplatz
33b0f160-ed91-4fce-a9a2-a7618cbd4cd5;Lift
ff95831e-0248-46b3-bdcb-0102f0d48bf1;Parkplatz
ff95831e-0248-46b3-bdcb-0102f0d48bf1;Lift
b8b96c1a-a8b6-4f03-bc9e-b4d6fbad6956;Lift
c9aedf86-4eaa-46fd-be5a-e67a5c506079;Lift
69d4de0a-30f0-4924-b91c-855cb049b0e0;Lift
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Balkon / Terrasse
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Aussicht
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Kinderfreundlich
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Parkplatz
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Garage
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Lift
9a4c30a2-cc80-4e62-ade0-a13ffaf02c3f;Swimmingpool
f8082d0e-186b-4b55-8348-8ec002e709f9;Balkon / Terrasse
f8082d0e-186b-4b55-8348-8ec002e709f9;Aussicht
f8082d0e-186b-4b55-8348-8ec002e709f9;Kinderfreundlich
f8082d0e-186b-4b55-8348-8ec002e709f9;Parkplatz
f8082d0e-186b-4b55-8348-8ec002e709f9;Garage
f8082d0e-186b-4b55-8348-8ec002e709f9;Lift
f8082d0e-186b-4b55-8348-8ec002e709f9;Swimmingpool
c99bdda1-2c79-4ddc-aecd-6d3a6c0e5e6a;Aussicht
c99bdda1-2c79-4ddc-aecd-6d3a6c0e5e6a;Kinderfreundlich
c99bdda1-2c79-4ddc-aecd-6d3a6c0e5e6a;Parkplatz
c99bdda1-2c79-4ddc-aecd-6d3a6c0e5e6a;Garage
c99bdda1-2c79-4ddc-aecd-6d3a6c0e5e6a;Lift
c99bdda1-2c79-4ddc-aecd-6d3a6c0e5e6a;Swimmingpool
7e654311-01e0-497e-8b90-37f9bab0d2eb;Balkon / Terrasse
7e654311-01e0-497e-8b90-37f9bab0d2eb;Kinderfreundlich
7e654311-01e0-497e-8b90-37f9bab0d2eb;Parkplatz
7e654311-01e0-497e-8b90-37f9bab0d2eb;Garage
7e654311-01e0-497e-8b90-37f9bab0d2eb;Lift
