Kantons-Id,Kanton,BfS-Id,Gemeinde,Kantonssteuer,Gemeindesteuer,Kirche ref.,Kirche röm.-kt.,Kirche christkt.
1,ZH,131,Adliswil,99,102,10,8,14
1,ZH,241,Aesch (ZH),99,91,11,11,14
1,ZH,1,Aeugst am Albis,99,95,12,13,14
1,ZH,2,Affoltern am Albis,99,124,12,13,14
1,ZH,211,Altikon,99,114,12,13,14
1,ZH,291,Andelfingen,99,114,12,14,14
1,ZH,51,Bachenbülach,99,106,10,11,14
1,ZH,81,Bachs,99,128,14,11,14
1,ZH,52,Bassersdorf,99,114,12,9,14
1,ZH,297,Bauma,99,120,14,13,14
1,ZH,22,Benken (ZH),99,110,14,14,14
1,ZH,23,Berg am Irchel,99,98,12,13,14
1,ZH,242,Birmensdorf (ZH),99,112,11,11,14
1,ZH,3,Bonstetten,99,109,12,11,14
1,ZH,82,Boppelsen,99,96,13,10,14
1,ZH,213,Brütten,99,89,12,13,14
1,ZH,112,Bubikon,99,118,14,12,14
1,ZH,24,Buch am Irchel,99,106,12,13,14
1,ZH,83,Buchs (ZH),99,110,11,10,14
1,ZH,111,Bäretswil,99,106,14,13,14
1,ZH,53,Bülach,99,110,10,11,14
1,ZH,25,Dachsen,99,112,12,14,14
1,ZH,86,Dielsdorf,99,105,12,11,14
1,ZH,243,Dietikon,99,123,12,13,14
1,ZH,54,Dietlikon,99,102,12,8,14
1,ZH,216,Dinhard,99,87,12,13,14
1,ZH,26,Dorf,99,109,14,13,14
1,ZH,214,Dägerlen,99,105,14,13,14
1,ZH,84,Dällikon,99,108,11,10,14
1,ZH,85,Dänikon,99,122,11,10,14
1,ZH,215,Dättlikon,99,116,12,13,14
1,ZH,191,Dübendorf,99,96,11,10,14
1,ZH,113,Dürnten,99,113,14,12,14
1,ZH,192,Egg,99,101,12,9,14
1,ZH,55,Eglisau,99,113,13,13,14
1,ZH,294,Elgg,99,115,14,14,14
1,ZH,218,Ellikon an der Thur,99,119,12,13,14
1,ZH,219,Elsau,99,120,14,13,14
1,ZH,56,Embrach,99,118,12,13,14
1,ZH,151,Erlenbach (ZH),99,79,9,7,14
1,ZH,172,Fehraltorf,99,109,13,12,14
1,ZH,27,Feuerthalen,99,114,13,14,14
1,ZH,114,Fischenthal,99,124,14,13,14
1,ZH,28,Flaach,99,107,12,13,14
1,ZH,29,Flurlingen,99,112,12,14,14
1,ZH,57,Freienstein-Teufen,99,99,14,13,14
1,ZH,193,Fällanden,99,99,11,10,14
1,ZH,244,Geroldswil,99,110,11,9,14
1,ZH,58,Glattfelden,99,120,14,13,14
1,ZH,115,Gossau (ZH),99,117,14,14,14
1,ZH,194,Greifensee,99,94,11,10,14
1,ZH,116,Grüningen,99,113,14,13,14
1,ZH,220,Hagenbuch,99,116,14,14,14
1,ZH,4,Hausen am Albis,99,112,12,14,14
1,ZH,5,Hedingen,99,100,12,13,14
1,ZH,31,Henggart,99,102,14,13,14
1,ZH,152,Herrliberg,99,75,9,8,14
1,ZH,221,Hettlingen,99,96,13,13,14
1,ZH,117,Hinwil,99,112,12,16,14
1,ZH,173,Hittnau,99,113,14,12,14
1,ZH,59,Hochfelden,99,116,10,11,14
1,ZH,153,Hombrechtikon,99,116,11,13,14
1,ZH,295,Horgen,99,90,10,7,14
1,ZH,60,Höri,99,110,10,11,14
1,ZH,61,Hüntwangen,99,108,14,13,14
1,ZH,87,Hüttikon,99,117,13,10,14
1,ZH,296,Illnau-Effretikon,99,110,13,13,14
1,ZH,6,Kappel am Albis,99,102,14,14,14
1,ZH,135,Kilchberg (ZH),99,72,9,6,14
1,ZH,33,Kleinandelfingen,99,112,12,14,14
1,ZH,62,Kloten,99,103,10,9,14
1,ZH,7,Knonau,99,116,14,14,14
1,ZH,154,Küsnacht (ZH),99,75,7,7,14
1,ZH,136,Langnau am Albis,99,106,10,14,14
1,ZH,34,Laufen-Uhwiesen,99,104,12,14,14
1,ZH,176,Lindau,99,106,12,13,14
1,ZH,63,Lufingen,99,89,12,13,14
1,ZH,35,Marthalen,99,105,14,14,14
1,ZH,8,Maschwanden,99,130,12,14,14
1,ZH,195,Maur,99,85,9,9,14
1,ZH,156,Meilen,99,79,9,7,14
1,ZH,9,Mettmenstetten,99,98,12,14,14
1,ZH,155,Männedorf,99,93,12,11,14
1,ZH,196,Mönchaltorf,99,108,13,9,14
1,ZH,88,Neerach,99,77,12,11,14
1,ZH,223,Neftenbach,99,105,9,13,14
1,ZH,89,Niederglatt,99,106,13,11,14
1,ZH,90,Niederhasli,99,112,13,11,14
1,ZH,91,Niederweningen,99,102,10,11,14
1,ZH,64,Nürensdorf,99,90,12,9,14
1,ZH,65,Oberembrach,99,117,12,13,14
1,ZH,245,Oberengstringen,99,112,10,13,14
1,ZH,92,Oberglatt,99,117,13,11,14
1,ZH,137,Oberrieden,99,88,12,11,14
1,ZH,93,Oberweningen,99,96,10,11,14
1,ZH,10,Obfelden,99,121,12,13,14
1,ZH,157,Oetwil am See,99,116,14,9,14
1,ZH,246,Oetwil an der Limmat,99,105,11,9,14
1,ZH,66,Opfikon,99,94,8,7,14
1,ZH,37,Ossingen,99,99,14,14,14
1,ZH,94,Otelfingen,99,112,13,10,14
1,ZH,11,Ottenbach,99,117,12,13,14
1,ZH,224,Pfungen,99,117,12,13,14
1,ZH,177,Pfäffikon,99,110,12,12,14
1,ZH,67,Rafz,99,113,14,13,14
1,ZH,95,Regensberg,99,111,14,11,14
1,ZH,96,Regensdorf,99,118,11,10,14
1,ZH,38,Rheinau,99,116,14,14,14
1,ZH,138,Richterswil,99,99,12,15,14
1,ZH,225,Rickenbach (ZH),99,106,12,13,14
1,ZH,12,Rifferswil,99,122,12,14,14
1,ZH,68,Rorbas,99,103,14,13,14
1,ZH,178,Russikon,99,113,12,12,14
1,ZH,97,Rümlang,99,109,14,11,14
1,ZH,139,Rüschlikon,99,75,10,10,14
1,ZH,118,Rüti (ZH),99,119,14,12,14
1,ZH,226,Schlatt (ZH),99,125,14,12,14
1,ZH,98,Schleinikon,99,108,10,11,14
1,ZH,247,Schlieren,99,111,11,10,14
1,ZH,197,Schwerzenbach,99,101,11,10,14
