Gemeindecode,Gemeindename,Einwohner,Bevölkerungs-dichte pro km²
1,Aeugst am Albis,1'981,250
2,Affoltern am Albis,12'303,1'162
3,Bonstetten,5'572,750
4,Hausen am Albis,3'751,276
5,Hedingen,3'778,579
6,Kappel am Albis,1'221,154
7,Knonau,2'378,368
8,Maschwanden,645,138
9,Mettmenstetten,5'200,399
10,Obfelden,5'721,759
11,Ottenbach,2'588,516
12,Rifferswil,1'129,173
13,Stallikon,3'755,312
14,Wettswil am Albis,5'240,1'390
21,Adlikon,698,106
22,Benken (ZH),845,149
23,Berg am Irchel,577,82
24,Buch am Irchel,979,96
25,Dachsen,1'916,710
26,Dorf,658,118
27,Feuerthalen,3'614,1'457
28,Flaach,1'420,140
29,Flurlingen,1'477,613
30,Andelfingen,2'247,333
31,Henggart,2'234,737
32,Humlikon,485,132
33,Kleinandelfingen,2'074,202
34,Laufen-Uhwiesen,1'761,280
35,Marthalen,1'918,136
37,Ossingen,1'668,127
38,Rheinau,1'316,147
39,Thalheim an der Thur,938,146
40,Trüllikon,1'061,111
41,Truttikon,463,105
43,Volken,380,119
51,Bachenbülach,4'180,970
52,Bassersdorf,11'824,1'309
53,Bülach,21'372,1'328
54,Dietlikon,7'847,1'846
55,Eglisau,5'339,589
56,Embrach,9'421,742
57,Freienstein-Teufen,2'389,284
58,Glattfelden,5'217,424
59,Hochfelden,1'982,321
60,Höri,2'872,600
61,Hüntwangen,1'057,215
62,Kloten,20'130,1'045
63,Lufingen,2'417,467
64,Nürensdorf,5'602,558
65,Oberembrach,1'121,109
66,Opfikon,21'014,3'759
67,Rafz,4'661,436
68,Rorbas,2'885,650
69,Wallisellen,16'841,2'623
70,Wasterkingen,563,142
71,Wil (ZH),1'474,165
72,Winkel,4'535,559
81,Bachs,592,65
82,Boppelsen,1'432,362
83,Buchs (ZH),6'565,1'124
84,Dällikon,4'177,926
85,Dänikon,1'861,648
86,Dielsdorf,5'966,1'016
87,Hüttikon,952,599
88,Neerach,3'175,526
89,Niederglatt,4'993,1'387
90,Niederhasli,9'345,827
91,Niederweningen,3'073,449
92,Oberglatt,7'228,876
93,Oberweningen,1'790,362
94,Otelfingen,2'982,417
95,Regensberg,469,198
96,Regensdorf,18'540,1'268
97,Rümlang,8'233,663
98,Schleinikon,758,133
99,Schöfflisdorf,1'377,343
100,Stadel,2'293,178
101,Steinmaur,3'609,384
102,Weiach,1'903,199
111,Bäretswil,5'053,228
112,Bubikon,7'344,633
113,Dürnten,7'606,744
114,Fischenthal,2'516,83
115,Gossau (ZH),10'280,563
116,Grüningen,3'641,415
117,Hinwil,11'277,506
118,Rüti (ZH),12'286,1'221
119,Seegräben,1'430,379
120,Wald (ZH),10'096,400
121,Wetzikon (ZH),24'990,1'487
131,Adliswil,18'944,2'438
135,Kilchberg (ZH),8'923,3'459
136,Langnau am Albis,7'727,891
137,Oberrieden,5'002,1'793
138,Richterswil,13'632,1'810
139,Rüschlikon,6'092,2'079
141,Thalwil,18'139,3'298
151,Erlenbach (ZH),5'592,1'935
152,Herrliberg,6'460,719
153,Hombrechtikon,8'775,720
154,Küsnacht (ZH),14'564,1'178
155,Männedorf,11'359,2'381
156,Meilen,14'335,1'201
157,Oetwil am See,4'840,792
158,Stäfa,14'718,1'713
159,Uetikon am See,6'201,1'792
160,Zumikon,5'486,1'001
161,Zollikon,13'067,1'665
172,Fehraltorf,6'485,685
173,Hittnau,3'664,283
176,Lindau,5'605,467
177,Pfäffikon,12'164,623
178,Russikon,4'393,309
180,Weisslingen,3'364,263
181,Wila,1'977,215
182,Wildberg,985,93
191,Dübendorf,29'303,2'151
192,Egg,8'796,605
193,Fällanden,8'689,1'362
194,Greifensee,5'385,2'372
195,Maur,10'468,709
196,Mönchaltorf,3'898,514
197,Schwerzenbach,5'170,1'973
198,Uster,35'007,1'229
199,Volketswil,18'640,1'328
200,Wangen-Brüttisellen,7'967,1'006
211,Altikon,698,91
213,Brütten,2'067,313
214,Dägerlen,1'037,130
215,Dättlikon,776,269
216,Dinhard,1'684,238
218,Ellikon an der Thur,901,179
219,Elsau,3'647,452
220,Hagenbuch,1'085,133
221,Hettlingen,3'169,537
223,Neftenbach,5'718,379
224,Pfungen,3'900,782
225,Rickenbach (ZH),2'749,457
226,Schlatt (ZH),789,88
227,Seuzach,7'440,984
228,Turbenthal,4'883,194
230,Winterthur,113'173,1'663
231,Zell (ZH),6'299,486
241,Aesch (ZH),1'669,319
242,Birmensdorf (ZH),6'724,589
243,Dietikon,27'746,2'971
244,Geroldswil,4'934,2'556
245,Oberengstringen,6'738,3'134
246,Oetwil an der Limmat,2'515,908
247,Schlieren,18'791,2'851
248,Uitikon,4'668,1'066
249,Unterengstringen,3'934,1'178
250,Urdorf,9'981,1'317
251,Weiningen (ZH),4'813,895
261,Zürich,420'217,4'779
292,Stammheim,2'790,116
293,Wädenswil,24'624,691
294,Elgg,4'942,203
295,Horgen,22'992,746
296,Illnau-Effretikon,17'333,527
297,Bauma,4'873,165
298,Wiesendangen,6'594,344
301,Aarberg,4'632,584
302,Bargen (BE),1'025,130
303,Grossaffoltern,3'031,201
304,Kallnach,2'204,123
305,Kappelen,1'414,129
306,Lyss,15'525,1'047
307,Meikirch,2'473,242
309,Radelfingen,1'287,87
