xtf_id,Name,Nummer,Abkuerzung,Transportunternehmen_Nummer,Transportunternehmen_Abkuerzung,Betriebspunkttyp_Code,Betriebspunkttyp_Bezeichnung,Verkehrsmittel_Code,Verkehrsmittel_Bezeichnung,Gemeinde_Nummer,Gemeinde_Name,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rUebergeordneteHaltestelle,E,N,H
ch14uvag00044468,"Disentis/Mustér, staziun/posta",8574888,DMSP,7,PAG,VP,Haltestelle,A,Bus,3982,Disentis/Mustér,20220726,,20240428,,2708310,1173635,1133
ch14uvag00041789,Brig,8501609,BR,1,SBB CFF FFS,VPG,Haltestelle und Bedienpunkt,B,Zug,6002,Brig-Glis,20210401,,20240428,,2642319,1129928,678
ch14uvag00047263,"Goldach, Bahnhof",8580718,,7,PAG,VP,Haltestelle,A,Bus,3213,Goldach,20210422,,20240428,,2752821,1260085,449
ch14uvag00044786,"Ecublens VD, Bassenges",8501215,BAGE,519,TL,VP,Haltestelle,D,Metro,5635,Ecublens (VD),20210401,,20240428,,2532935,1152962,398
ch14uvag00380529,"St.Gallen, Mühlegg Bergstation",8511631,,537,VBSG,VP,Haltestelle,F,Standseilbahn,3203,St. Gallen,20240426,,20240428,,2746444,1253891,751
ch14uvag00090256,Ins [Gleis 11],8516177,INAB,136,asm,zBP,Zugeordneter Betriebspunkt,,,496,Ins,20190423,,20240428,,2574243,1205492,477
ch14uvag00090264,Liestal [Gleis 4],8519350,,122,BLT,zBP,Zugeordneter Betriebspunkt,,,2829,Liestal,20221211,,20240428,,2622035,1259332,515
ch14uvag00064372,Würenlingen Zwischenlager(Agl),8515756,WUZW,1,SBB CFF FFS,Apt,Anschlusspunkt,,,4047,Würenlingen,20191206,,20240428,,2660625,1265286,357
ch14uvag00225249,Duggingen Nord (Ausw),8509428,DUGN,1,SBB CFF FFS,Ausw,Ausweiche,,,2785,Duggingen,20230907,,20240428,,2612739,1256176,312
ch14uvag00225426,"Pany, Schwimmbad",8508015,,7,PAG,VP,Haltestelle,A,Bus,3891,Luzein,20210401,,20240428,,2777284,1200354,1340
ch14uvag00038546,Adliswil,8503096,ADW,42,SZU,VPG,Haltestelle und Bedienpunkt,B,Zug,131,Adliswil,20210401,,20240428,,2682086,1240723,452
ch14uvag00380528,"Alt St. Johann, Steinbruch",8511613,,7,PAG,VP,Haltestelle,A,Bus,3359,Wildhaus-Alt St. Johann,20240417,20241214,20240428,,2736420,1228028,874
